Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg),Time Score,Laps Score
Quartile 3,49.0,Arizona State Univ - Tempe_2025,,78.1,51.5,90.0,,,,,,219.6,18687.0,,,,,,,,,,,,4.0,600.0,212.7,,
Quartile 1,30.0,Brown Univ_2025,,87.2,59.7,100.0,Quartile 2,Quartile 1,Quartile 4,Quartile 4,36.5,664.9,14999.0,141.719,0.481,4.828,53.040,1397.191,,1417.191,180.7,10.0,25.0,,4.0,599.0,200.9,,
Quartile 2,148.0,CEFET-MG_2025,,82.5,67.7,139.0,Quartile 4,Quartile 4,Quartile 4,Quartile 2,,543.0,14834.0,,,4.356,53.085,,,,,,,5.291,4.0,600.0,212.3,,
Quartile 2,89.0,California State Poly Univ - Pomona_2025,,72.0,18.2,100.0,Quartile 4,Quartile 3,Quartile 1,Quartile 3,23.4,478.7,20188.0,158.635,0.412,4.374,72.604,1546.353,,1586.353,102.2,10.0,25.0,5.515,4.0,600.0,214.1,,
Quartile 3,67.0,California State Univ - Fullerton_2025,,47.7,61.0,60.0,,,,,,168.7,26432.0,,,,,,,,,,,,2.0,689.0,215.9,,
Quartile 1,84.0,California State Univ - Northridge_2025,,85.9,38.9,100.0,Quartile 4,Quartile 3,Quartile 4,Quartile 4,59.2,713.0,14551.0,142.879,0.6,4.38,52.797,1382.793,,1428.793,174.7,10.0,25.0,5.49,4.0,600.0,196.0,,
Quartile 3,55.0,Carleton Univ_2025,,72.3,38.0,80.0,,,,,,190.3,16382.0,,,,,,,,,,,,1.0,450.0,179.6,,
Quartile 3,50.0,Clarkson University_2025,,57.8,18.5,60.0,Quartile 2,Quartile 3,Quartile 3,Quartile 1,,304.6,17464.0,,,4.981,58.733,,,,,,,5.511,4.0,600.0,224.1,,
Quartile 2,58.0,Clemson Univ_2025,,54.6,54.0,80.0,Quartile 3,Quartile 4,Quartile 4,Quartile 2,,409.7,28287.0,,,4.687,54.270,,,,,,,5.375,4.0,636.0,215.5,,
Quartile 3,99.0,Colorado Mesa University_2025,,58.1,5.0,40.0,Quartile 2,Quartile 2,Quartile 1,Quartile 2,,205.1,20461.0,,,4.992,74.405,,,,,,,5.938,2.0,650.0,210.5,,
Quartile 2,23.0,Colorado School of Mines_2025,,62.5,38.2,80.0,Quartile 1,Quartile 4,Quartile 4,Quartile 4,46.2,535.0,22618.0,151.178,0.532,7.833,53.136,1487.777,,1511.777,134.6,10.0,25.0,5.44,4.0,599.0,202.8,,
Quartile 2,44.0,Colorado State University_2025,,54.7,19.1,60.0,Quartile 4,Quartile 3,Quartile 3,Quartile 2,,341.9,26097.0,,,4.468,57.076,,,,,,,5.512,4.0,600.0,221.8,,
Quartile 1,34.0,Duke Univ_2025,,75.8,71.3,80.0,Quartile 3,Quartile 2,Quartile 4,Quartile 4,48.9,669.1,20317.0,142.99,0.546,4.562,54.670,1423.899,,1429.899,174.2,10.0,25.0,5.7,2.0,689.0,205.0,,
Quartile 1,32.0,Embry-Riddle Aero Univ - Daytona Beach_2025,,31.9,68.9,80.0,Quartile 4,Quartile 4,Quartile 4,Quartile 4,32.3,649.2,30554.0,142.535,0.459,4.169,54.508,1403.346,,1425.346,176.5,10.0,25.0,5.45,4.0,600.0,206.8,,
Quartile 3,79.0,Florida Atlantic Univ_2025,,54.1,18.8,60.0,Quartile 2,Quartile 1,Quartile 2,Quartile 2,,272.4,18631.0,,,5.02,62.407,2033.968,30.0,2217.968,-,10.0,25.0,5.958,4.0,610.0,207.7,,
Quartile 3,57.0,Florida International Univ_2025,,62.3,16.5,35.0,Quartile 2,Quartile 1,Quartile 1,Quartile 2,,218.9,16391.0,,,4.829,66.042,,,,,,,7.018,2.0,650.0,222.3,,
Quartile 1,38.0,Georgia Institute of Technology_2025,,83.1,43.8,100.0,Quartile 4,Quartile 3,Quartile 4,Quartile 4,51.7,804.7,18342.0,129.53,0.561,4.471,49.231,1289.297,,1295.297,250.0,10.0,25.0,5.463,4.0,600.0,213.2,,
Quartile 4,113.0,Grand Canyon University_2025,,18.9,16.1,30.0,,,,,,65.0,19530.0,,,,,,,,,,,,1.0,690.0,257.2,,
Quartile 3,64.0,Grand Valley State Univ_2025,,65.5,19.1,60.0,Quartile 2,Quartile 1,Quartile 2,Quartile 2,,292.2,26886.0,,,4.805,62.438,1841.841,,1883.841,-,10.0,25.0,,4.0,600.0,254.9,,
Quartile 4,126.0,ITESM - Campus Cuernavaca_2025,,15.5,10.0,10.0,,,,,,35.5,18392.0,,,,,,,,,,,,4.0,636.0,324.8,,
Quartile 1,7.0,Instituto Maua de Tecnologia_2025,,88.8,54.3,129.0,Quartile 4,Quartile 4,Quartile 4,Quartile 3,52.0,646.2,16758.0,164.521,0.562,4.429,54.963,1511.211,114.0,1645.211,78.7,10.0,25.0,,3.0,675.0,191.9,,
Quartile 4,134.0,Instituto Tecnologico de Estudios Superi_2025,,14.0,5.0,20.0,,,,,,39.0,,,,,,,,,,,,,4.0,600.0,,,
